,id,name,type,rarity,event,group,standard,new
punch,punch,...Punch,sprays,common,,,False,False
barbarian,barbarian,Barbarian,sprays,,,,False,False
beyond-the-moon,beyond-the-moon,Beyond the Moon,sprays,,,,False,False
catcher,catcher,Catcher,sprays,common,,,False,False
caution,caution,Caution,sprays,common,,,False,False
copa-lucioball-competitor,copa-lucioball-competitor,Copa Lúcioball Competitor,sprays,,,competitive,False,False
copa-lucioball-hero,copa-lucioball-hero,Copa Lúcioball Hero,sprays,,,competitive,False,False
crusader,crusader,Crusader,sprays,,,,False,False
dance,dance,Dance,sprays,common,,,False,False
dark-logo,dark-logo,Dark Logo,sprays,common,,,False,False
dark-overwatch,dark-overwatch,Dark Overwatch,sprays,common,,,False,False
dark-title,dark-title,Dark Title,sprays,common,,,False,False
demon-hunter,demon-hunter,Demon Hunter,sprays,,,,False,False
da-de-los-muertos,da-de-los-muertos,Día de los Muertos,sprays,,,,True,False
forge-onward,forge-onward,Forge Onward,sprays,,,,False,False
fots2,fots2,FotS2,sprays,common,,,False,False
fuji,fuji,Fuji,sprays,common,,,False,False
gl-hf,gl-hf,GL HF,sprays,,,,False,False
goldshire-pictures,goldshire-pictures,Goldshire Pictures,sprays,common,,,False,False
jail,jail,Jail,sprays,,,,False,False
leek,leek,Leek,sprays,common,,,False,False
logo,logo,Logo,sprays,,,,True,False
lumerico,lumerico,Lumérico,sprays,common,,,False,False
man-and-omnic,man-and-omnic,Man and Omnic,sprays,,,,False,False
monk,monk,Monk,sprays,,,,False,False
numbani-statue,numbani-statue,Numbani Statue,sprays,common,,,False,False
omnic-rights,omnic-rights,Omnic Rights,sprays,common,,,False,False
oops,oops,Oops,sprays,,,,False,False
out-of-my-way,out-of-my-way,Out of My Way,sprays,,,,False,False
overwatch,overwatch,Overwatch,sprays,common,,,False,False
overwatch-title,overwatch-title,Overwatch Title,sprays,common,,,False,False
pachimari,pachimari,Pachimari,sprays,common,,pachi,False,False
piata,piata,Piñata,sprays,,,,False,False
red-o,red-o,Red O,sprays,,,,False,False
red-x,red-x,Red X,sprays,,,,False,False
respect,respect,Respect,sprays,,,,False,False
rhino,rhino,Rhino,sprays,common,,,False,False
rikimaru,rikimaru,Rikimaru,sprays,common,,,False,False
rise,rise,Rise,sprays,,,,False,False
sarcophagus,sarcophagus,Sarcophagus,sprays,common,,,False,False
scooter,scooter,Scooter,sprays,common,,,False,False
scroll,scroll,Scroll,sprays,common,,,False,False
season-1-competitor,season-1-competitor,Season 1 Competitor,sprays,,,competitive,False,False
season-1-hero,season-1-hero,Season 1 Hero,sprays,,,competitive,False,False
season-2-competitor,season-2-competitor,Season 2 Competitor,sprays,,,competitive,False,False
season-2-hero,season-2-hero,Season 2 Hero,sprays,,,competitive,False,False
season-3-competitor,season-3-competitor,Season 3 Competitor,sprays,,,competitive,False,False
season-3-hero,season-3-hero,Season 3 Hero,sprays,,,competitive,False,False
season-4-competitor,season-4-competitor,Season 4 Competitor,sprays,,,competitive,False,False
season-4-hero,season-4-hero,Season 4 Hero,sprays,,,competitive,False,False
season-5-competitor,season-5-competitor,Season 5 Competitor,sprays,,,competitive,False,False
season-5-hero,season-5-hero,Season 5 Hero,sprays,,,competitive,False,False
season-6-competitor,season-6-competitor,Season 6 Competitor,sprays,,,competitive,False,False
season-6-hero,season-6-hero,Season 6 Hero,sprays,,,competitive,False,False
siege-mode,siege-mode,Siege Mode,sprays,common,,,False,False
sixgun-killer,sixgun-killer,Six-Gun Killer,sprays,common,,,False,False
sol,sol,Sol,sprays,common,,,False,False
sorry,sorry,Sorry,sprays,,,,False,False
soulstone,soulstone,Soulstone,sprays,common,,,False,False
tea-time,tea-time,Tea Time,sprays,,,,False,False
thanks,thanks,Thanks,sprays,,,,False,False
victory,victory,Victory,sprays,,,,False,False
vivis-adventure,vivis-adventure,Vivi's Adventure,sprays,common,,,False,False
well-played,well-played,Well Played,sprays,,,,False,False
witch-doctor,witch-doctor,Witch Doctor,sprays,,,,False,False
wizard,wizard,Wizard,sprays,,,,False,False
you-are-not-prepared,you-are-not-prepared,You are not prepared!,sprays,,,,True,False
snowcree,snowcree,Snowcree,sprays,,WINTER_WONDERLAND_2016,,False,False
snowhog,snowhog,Snowhog,sprays,,WINTER_WONDERLAND_2016,,False,False
snowmei,snowmei,Snowmei,sprays,,WINTER_WONDERLAND_2016,,False,False
snowreaper,snowreaper,Snowreaper,sprays,,WINTER_WONDERLAND_2016,,False,False
winter-wonderland,winter-wonderland,Winter Wonderland,sprays,common,WINTER_WONDERLAND_2016,,False,False
auspicious-lion,auspicious-lion,Auspicious Lion,sprays,,YEAR_OF_THE_ROOSTER_2017,,False,False
awakened-lion,awakened-lion,Awakened Lion,sprays,,YEAR_OF_THE_ROOSTER_2017,,False,False
